"#","Reference","QTY","Value","Package","Manufacturer Part number","Description","SMD","THT","Original","Elecrow PN"
"1","C1 C2 C3 C4 C5 C6 C7 C8","8","10uF","D_0805_2012Metric","CL21A106KAYNNNE","Unpolarized capacitor, small symbol","","","N","302010158"
"2","D23 D24","2","B5819W","D_SOD-123","B5819W SL","Schottky diode, small symbol","","","N","304020034"
"3","D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D19 D20 D21 D22 D29 D30 D31 D32 D33 D34 D35","22","BAV70_Small","SOT-23","BAV70","Dual 100V 215mA high-speed switching diodes, common cathode, SOT-23","","","N",""
"4","D18 D25","2","BLUE","LED_0805_2012Metric","17-21/BHC-AP1Q2/3T","Light emitting diode, small symbol","","","N",""
"5","D26 D27 D28 D42 D43 D44","6","GREEN","LED_0805_2012Metric","MHT170UGCT","Light emitting diode, small symbol","","","N",""
"6","F1 F2","2","750mA","Fuse_1206_3216Metric","CC12H750MA-TR","Fuse","","","N",""
"7","J4 J10","2","USB C - USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11","918-418K2023S40001","USB 2.0-only Type-C Receptacle connector","","","N",""
"8","Q1 Q2 Q3 Q4","4","AO3401A","SOT-23","AO3401A","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","","","Y",""
"9","R3 R8 R11 R12 R13 R18 R19 R20","8","1k","R_0805_2012Metric","0805W8F1001T5E","Resistor, small symbol","","","N","301012189"
"10","R9 R10 R23 R24","4","5.1k","R_0805_2012Metric","0805W8F5101T5E","Resistor, small symbol","","","N","301012180"
"11","R5 R14","2","10k","R_0805_2012Metric","0805W8F1002T5E","Resistor, small symbol","","","N","301012152"
"12","R1 R4 R15 R16","4","100k","R_0805_2012Metric","0805W8F1003T5E","Resistor, small symbol","","","N","301012150"
"13","R6 R21","2","806k","R_0805_2012Metric","0805W8F8063T5E","Resistor, small symbol","","","N",""
"14","R2 R7 R17 R22","4","2M","R_0805_2012Metric","0805W8F2004T5E","Resistor, small symbol","","","N",""
"15","SW51 SW53","2","RESET","SW_SPST_EVQPUC02K","EVQPUC02K","Push button switch, generic, two pins","","","Y",""
"16","SW50 SW52","2","SW_SPST","SW_SPDT_PCM12","PCM12SMTR","Momentary Switch, single pole double throw","","","Y",""
"17","U4 U7","2","SRV05-4","SOT-23-6","SRV05-4-P-T7","ESD Protection Diodes with Low Clamping Voltage, SOT-23-6","","","N",""
"18","U2 U5","2","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","TP4056-42-ESOP8","Standalone Linear Li-lon Battery Charger with Thermal Protection","","","Y",""
"19","U1 U6","2","XC6220","SOT-23-5","XC6220B331MR-G","600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5","","","Y",""
"20","U3 U8","2","nRF52840_holyiot_18010","nRF52840_holyiot_18010","YJ-18010-nRF52840","","","","Y",""
