"Comment","Designator","Footprint","LCSC Part"
"10uF","C1 C2 C3 C4 C5 C6 C7 C8","D_0805_2012Metric","C15850"
"B5819W","D23 D24","D_SOD-123","C8598"
"BAV70_Small","D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D19 D20 D21 D22 D29 D30 D31 D32 D33 D34 D35","SOT-23","C68978"
"BLUE","D18 D25","LED_0805_2012Metric","C99870"
"GREEN","D26 D27 D28 D42 D43 D44","LED_0805_2012Metric","C397047"
"WS2812B","D12 D13 D14 D15 D16 D17 D36 D37 D38 D39 D40 D41","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C2761795"
"750mA","F1 F2","Fuse_1206_3216Metric","C328915"
"BATT","J1 J6","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","C295747"
"USB C - USB2.0","J4 J10","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C167321"
"AO3401A","Q1 Q2 Q3 Q4","SOT-23","C15127"
"1k","R3 R8 R11 R12 R13 R18 R19 R20","R_0805_2012Metric","C17513"
"5.1k","R9 R10 R23 R24","R_0805_2012Metric","C27834"
"10k","R5 R14","R_0805_2012Metric","C17414"
"100k","R1 R4 R15 R16","R_0805_2012Metric","C17407"
"806k","R6 R21","R_0805_2012Metric","C63494"
"2M","R2 R7 R17 R22","R_0805_2012Metric","C26112"
"RESET","SW51 SW53","SW_SPST_EVQPUC02K","C79174"
"SW_SPST","SW50 SW52","SW_SPDT_PCM12","C221841"
"SRV05-4","U4 U7","SOT-23-6","C85364"
"TP4056","U2 U5","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias","C16581"
"XC6220","U1 U6","SOT-23-5","C86534"
